2006-01-01,A2,9
2006-01-01,ALA,1
2006-01-01,AP,1
2006-01-01,ARE,11
2006-01-01,ARG,43
2006-01-01,AUS,76
2006-01-01,AUT,22
2006-01-01,BEL,26
2006-01-01,BEN,1
2006-01-01,BGD,1
2006-01-01,BGR,8
2006-01-01,BHR,1
2006-01-01,BHS,2
2006-01-01,BIH,1
2006-01-01,BLR,1
2006-01-01,BOL,1
2006-01-01,BRA,64
2006-01-01,BRB,2
2006-01-01,BRN,1
2006-01-01,CAN,202
2006-01-01,CHE,33
2006-01-01,CHL,22
2006-01-01,CHN,128
2006-01-01,COK,1
2006-01-01,COL,7
2006-01-01,CRI,8
2006-01-01,CYP,1
2006-01-01,CZE,11
2006-01-01,DEU,151
2006-01-01,DJI,1
2006-01-01,DNK,20
2006-01-01,DOM,1
2006-01-01,DZA,2
2006-01-01,ECU,1
2006-01-01,EGY,15
2006-01-01,ESP,165
2006-01-01,EST,2
2006-01-01,EU,1
2006-01-01,FIN,39
2006-01-01,FJI,1
2006-01-01,FRA,137
2006-01-01,GBR,272
2006-01-01,GHA,1
2006-01-01,GMB,1
2006-01-01,GRC,11
2006-01-01,GRD,2
2006-01-01,GTM,4
2006-01-01,HKG,41
2006-01-01,HND,1
2006-01-01,HRV,7
2006-01-01,HUN,24
2006-01-01,IDN,9
2006-01-01,IMN,1
2006-01-01,IND,86
2006-01-01,IRL,14
2006-01-01,IRN,17
2006-01-01,ISL,3
2006-01-01,ISR,34
2006-01-01,ITA,114
2006-01-01,JAM,3
2006-01-01,JPN,118
2006-01-01,KEN,1
2006-01-01,KOR,79
2006-01-01,KWT,2
2006-01-01,LBN,1
2006-01-01,LKA,6
2006-01-01,LTU,12
2006-01-01,LUX,1
2006-01-01,LVA,5
2006-01-01,MAC,2
2006-01-01,MAR,14
2006-01-01,MCO,1
2006-01-01,MEX,48
2006-01-01,MLT,2
2006-01-01,MUS,1
2006-01-01,MYS,28
2006-01-01,NAM,1
2006-01-01,NCL,1
2006-01-01,NGA,3
2006-01-01,NLD,77
2006-01-01,NOR,22
2006-01-01,NPL,1
2006-01-01,NZL,10
2006-01-01,PAK,4
2006-01-01,PAN,1
2006-01-01,PER,10
2006-01-01,PHL,17
2006-01-01,POL,61
2006-01-01,PRI,8
2006-01-01,PRT,21
2006-01-01,PRY,1
2006-01-01,QAT,1
2006-01-01,REU,1
2006-01-01,ROU,18
2006-01-01,RUS,18
2006-01-01,SAU,11
2006-01-01,SEN,1
2006-01-01,SGP,5
2006-01-01,SMR,1
2006-01-01,SRB,5
2006-01-01,SVK,5
2006-01-01,SVN,5
2006-01-01,SWE,37
2006-01-01,SYR,1
2006-01-01,TCA,1
2006-01-01,THA,12
2006-01-01,TTO,1
2006-01-01,TUN,3
2006-01-01,TUR,28
2006-01-01,TWN,68
2006-01-01,UKR,4
2006-01-01,URY,2
2006-01-01,USA,1865
2006-01-01,VEN,16
2006-01-01,VIR,1
2006-01-01,VNM,15
2006-01-01,YEM,1
2006-01-01,ZAF,9
2006-01-01,unknown,2
2006-01-02,A1,1
2006-01-02,A2,17
2006-01-02,ABW,1
2006-01-02,ALB,2
2006-01-02,AP,4
2006-01-02,ARE,12
2006-01-02,ARG,43
2006-01-02,AUS,97
2006-01-02,AUT,37
2006-01-02,BEL,57
2006-01-02,BEN,1
2006-01-02,BGR,13
2006-01-02,BHR,1
2006-01-02,BHS,3
2006-01-02,BIH,1
2006-01-02,BMU,1
2006-01-02,BOL,5
2006-01-02,BRA,112
2006-01-02,BRB,1
2006-01-02,CAN,256
2006-01-02,CHE,54
2006-01-02,CHL,48
2006-01-02,CHN,134
2006-01-02,CIV,1
2006-01-02,COL,10
2006-01-02,CRI,8
2006-01-02,CYP,2
2006-01-02,CZE,19
2006-01-02,DEU,289
2006-01-02,DNK,103
2006-01-02,DOM,5
2006-01-02,DZA,4
2006-01-02,ECU,1
2006-01-02,EGY,19
2006-01-02,ESP,299
2006-01-02,EST,7
2006-01-02,ETH,1
2006-01-02,EU,11
2006-01-02,FIN,44
2006-01-02,FJI,2
2006-01-02,FRA,233
2006-01-02,GBR,294
2006-01-02,GIB,1
2006-01-02,GRC,19
2006-01-02,GTM,9
2006-01-02,HKG,39
2006-01-02,HND,2
2006-01-02,HRV,10
2006-01-02,HUN,28
2006-01-02,IDN,6
2006-01-02,IND,84
2006-01-02,IRL,21
2006-01-02,IRN,14
2006-01-02,ISL,3
2006-01-02,ISR,36
2006-01-02,ITA,176
2006-01-02,JAM,4
2006-01-02,JOR,6
2006-01-02,JPN,127
2006-01-02,KAZ,3
2006-01-02,KEN,1
2006-01-02,KOR,89
2006-01-02,KWT,3
2006-01-02,LBN,1
2006-01-02,LKA,3
2006-01-02,LTU,7
2006-01-02,LUX,3
2006-01-02,LVA,3
2006-01-02,MAC,1
2006-01-02,MAR,12
2006-01-02,MCO,1
2006-01-02,MDA,1
2006-01-02,MEX,66
2006-01-02,MKD,3
2006-01-02,MLT,1
2006-01-02,MRT,1
2006-01-02,MUS,1
2006-01-02,MYS,36
2006-01-02,NGA,2
2006-01-02,NLD,121
2006-01-02,NOR,32
2006-01-02,NPL,1
2006-01-02,NZL,9
2006-01-02,OMN,1
2006-01-02,PAK,13
2006-01-02,PER,12
2006-01-02,PHL,27
2006-01-02,PNG,1
2006-01-02,POL,60
2006-01-02,PRI,7
2006-01-02,PRT,41
2006-01-02,PSE,2
2006-01-02,QAT,2
2006-01-02,ROU,15
2006-01-02,RUS,22
2006-01-02,SAU,17
2006-01-02,SDN,1
2006-01-02,SEN,2
2006-01-02,SGP,14
2006-01-02,SRB,4
2006-01-02,SVK,7
2006-01-02,SVN,5
2006-01-02,SWE,66
2006-01-02,THA,7
2006-01-02,TTO,2
2006-01-02,TUN,3
2006-01-02,TUR,40
2006-01-02,TWN,104
2006-01-02,UGA,2
2006-01-02,UKR,4
2006-01-02,URY,3
2006-01-02,USA,2467
2006-01-02,VEN,13
2006-01-02,VNM,18
2006-01-02,YEM,1
2006-01-02,ZAF,7
2006-01-02,unknown,5
2006-01-03,A1,1
2006-01-03,A2,19
2006-01-03,AP,4
2006-01-03,ARE,10
2006-01-03,ARG,40
2006-01-03,ARM,1
2006-01-03,AUS,105
2006-01-03,AUT,34
2006-01-03,BEL,41
2006-01-03,BEN,4
2006-01-03,BFA,1
2006-01-03,BGD,1
2006-01-03,BGR,17
2006-01-03,BHR,1
2006-01-03,BHS,2
2006-01-03,BIH,2
2006-01-03,BMU,1
2006-01-03,BOL,3
2006-01-03,BRA,129
2006-01-03,BRN,1
2006-01-03,CAN,268
2006-01-03,CHE,57
2006-01-03,CHL,38
2006-01-03,CHN,134
2006-01-03,CIV,5
2006-01-03,CMR,1
2006-01-03,COL,13
2006-01-03,CRI,5
2006-01-03,CYP,2
2006-01-03,CZE,18
2006-01-03,DEU,247
2006-01-03,DNK,56
2006-01-03,DOM,6
2006-01-03,DZA,4
2006-01-03,ECU,3
2006-01-03,EGY,20
2006-01-03,ERI,1
2006-01-03,ESP,213
2006-01-03,EST,9
2006-01-03,ETH,1
2006-01-03,EU,20
2006-01-03,FIN,39
2006-01-03,FRA,259
2006-01-03,GBR,414
2006-01-03,GEO,1
2006-01-03,GHA,2
2006-01-03,GIN,1
2006-01-03,GLP,1
2006-01-03,GRC,21
2006-01-03,GRD,1
2006-01-03,GTM,8
2006-01-03,HKG,27
2006-01-03,HRV,18
2006-01-03,HUN,32
2006-01-03,IDN,10
2006-01-03,IND,77
2006-01-03,IRL,20
2006-01-03,IRN,16
2006-01-03,ISR,28
2006-01-03,ITA,186
2006-01-03,JAM,5
2006-01-03,JOR,3
2006-01-03,JPN,147
2006-01-03,KAZ,2
2006-01-03,KEN,1
2006-01-03,KOR,77
2006-01-03,LBN,2
2006-01-03,LKA,3
2006-01-03,LTU,9
2006-01-03,LUX,4
2006-01-03,LVA,3
2006-01-03,MAR,9
2006-01-03,MCO,2
2006-01-03,MDA,1
2006-01-03,MDG,1
2006-01-03,MEX,65
2006-01-03,MKD,1
2006-01-03,MLT,1
2006-01-03,MMR,2
2006-01-03,MRT,2
2006-01-03,MUS,2
2006-01-03,MYS,45
2006-01-03,NCL,1
2006-01-03,NGA,2
2006-01-03,NIC,1
2006-01-03,NLD,111
2006-01-03,NOR,29
2006-01-03,NPL,2
2006-01-03,NZL,15
2006-01-03,OMN,1
2006-01-03,PAK,9
2006-01-03,PAN,1
2006-01-03,PER,26
2006-01-03,PHL,31
2006-01-03,POL,66
2006-01-03,PRI,7
2006-01-03,PRT,60
2006-01-03,PRY,2
2006-01-03,PSE,2
2006-01-03,QAT,1
2006-01-03,REU,1
2006-01-03,ROU,24
2006-01-03,RUS,19
2006-01-03,SAU,12
2006-01-03,SEN,6
2006-01-03,SGP,18
2006-01-03,SLV,1
2006-01-03,SMR,1
2006-01-03,SVK,4
2006-01-03,SVN,11
2006-01-03,SWE,67
2006-01-03,THA,17
2006-01-03,TTO,1
2006-01-03,TUN,5
2006-01-03,TUR,37
2006-01-03,TWN,101
2006-01-03,UKR,1
2006-01-03,URY,6
2006-01-03,USA,2534
2006-01-03,UZB,1
2006-01-03,VEN,18
2006-01-03,VIR,1
2006-01-03,VNM,24
2006-01-03,YEM,1
2006-01-03,ZAF,12
2006-01-03,unknown,4
2006-01-04,A1,1
2006-01-04,A2,17
2006-01-04,ALB,3
2006-01-04,AP,4
2006-01-04,ARE,9
2006-01-04,ARG,47
2006-01-04,AUS,107
2006-01-04,AUT,25
2006-01-04,BEL,46
2006-01-04,BEN,3
2006-01-04,BGR,22
2006-01-04,BHS,1
2006-01-04,BLR,5
2006-01-04,BMU,1
2006-01-04,BOL,3
2006-01-04,BRA,217
2006-01-04,BRN,1
2006-01-04,CAN,285
2006-01-04,CHE,55
2006-01-04,CHL,31
2006-01-04,CHN,122
2006-01-04,CIV,6
2006-01-04,COL,14
2006-01-04,CRI,7
2006-01-04,CUB,2
2006-01-04,CUW,1
2006-01-04,CYP,3
2006-01-04,CZE,35
2006-01-04,DEU,227
2006-01-04,DNK,31
2006-01-04,DOM,4
2006-01-04,DZA,6
2006-01-04,ECU,5
2006-01-04,EGY,12
2006-01-04,ESP,262
2006-01-04,EST,9
2006-01-04,ETH,1
2006-01-04,EU,15
2006-01-04,FIN,48
2006-01-04,FRA,291
2006-01-04,GBR,361
2006-01-04,GEO,2
2006-01-04,GHA,4
2006-01-04,GMB,1
2006-01-04,GRC,19
2006-01-04,GTM,8
2006-01-04,HKG,25
2006-01-04,HND,1
2006-01-04,HRV,12
2006-01-04,HUN,26
2006-01-04,IDN,13
2006-01-04,IMN,2
2006-01-04,IND,81
2006-01-04,IRL,25
2006-01-04,IRN,13
2006-01-04,ISL,4
2006-01-04,ISR,35
2006-01-04,ITA,184
2006-01-04,JAM,4
2006-01-04,JEY,1
2006-01-04,JOR,2
2006-01-04,JPN,134
2006-01-04,KAZ,3
2006-01-04,KEN,2
2006-01-04,KHM,1
2006-01-04,KOR,78
2006-01-04,KWT,4
2006-01-04,LBN,1
2006-01-04,LKA,2
2006-01-04,LTU,10
2006-01-04,LUX,6
2006-01-04,LVA,3
2006-01-04,MAR,8
2006-01-04,MCO,1
2006-01-04,MDG,1
2006-01-04,MEX,70
2006-01-04,MKD,1
2006-01-04,MLI,1
2006-01-04,MLT,2
2006-01-04,MNE,1
2006-01-04,MRT,1
2006-01-04,MYS,27
2006-01-04,NGA,5
2006-01-04,NIC,1
2006-01-04,NLD,116
2006-01-04,NOR,30
2006-01-04,NZL,21
2006-01-04,PAK,8
2006-01-04,PAN,1
2006-01-04,PER,20
2006-01-04,PHL,18
2006-01-04,POL,53
2006-01-04,PRI,6
2006-01-04,PRT,52
2006-01-04,PSE,1
2006-01-04,QAT,1
2006-01-04,ROU,27
2006-01-04,RUS,19
2006-01-04,SAU,11
2006-01-04,SDN,1
2006-01-04,SEN,3
2006-01-04,SGP,19
2006-01-04,SLV,1
2006-01-04,SRB,4
2006-01-04,SVK,13
2006-01-04,SVN,14
2006-01-04,SWE,61
2006-01-04,THA,17
2006-01-04,TTO,1
2006-01-04,TUN,1
2006-01-04,TUR,36
2006-01-04,TWN,87
2006-01-04,UKR,11
2006-01-04,URY,4
2006-01-04,USA,2540
2006-01-04,VEN,18
2006-01-04,VIR,1
2006-01-04,VNM,23
2006-01-04,YEM,1
2006-01-04,ZAF,18
2006-01-04,unknown,3
2006-01-05,A2,13
2006-01-05,AP,4
2006-01-05,ARE,7
2006-01-05,ARG,40
2006-01-05,AUS,94
2006-01-05,AUT,28
2006-01-05,BEL,52
2006-01-05,BEN,4
2006-01-05,BGR,21
2006-01-05,BHR,1
2006-01-05,BHS,3
2006-01-05,BIH,2
2006-01-05,BMU,1
2006-01-05,BOL,2
2006-01-05,BRA,157
2006-01-05,CAN,241
2006-01-05,CHE,73
2006-01-05,CHL,35
2006-01-05,CHN,181
2006-01-05,CIV,7
2006-01-05,COL,15
2006-01-05,CRI,8
2006-01-05,CUB,1
2006-01-05,CUW,2
2006-01-05,CYP,2
2006-01-05,CZE,22
2006-01-05,DEU,271
2006-01-05,DNK,32
2006-01-05,DOM,9
2006-01-05,DZA,3
2006-01-05,ECU,9
2006-01-05,EGY,14
2006-01-05,ESP,216
2006-01-05,EST,8
2006-01-05,EU,17
2006-01-05,FIN,39
2006-01-05,FRA,270
2006-01-05,GAB,1
2006-01-05,GBR,374
2006-01-05,GEO,2
2006-01-05,GHA,4
2006-01-05,GRC,18
2006-01-05,GTM,5
2006-01-05,HKG,38
2006-01-05,HND,1
2006-01-05,HRV,7
2006-01-05,HUN,23
2006-01-05,IDN,12
2006-01-05,IMN,1
2006-01-05,IND,88
2006-01-05,IRL,19
2006-01-05,IRN,14
2006-01-05,ISL,3
2006-01-05,ISR,21
2006-01-05,ITA,183
2006-01-05,JAM,1
2006-01-05,JOR,1
2006-01-05,JPN,160
2006-01-05,KAZ,3
2006-01-05,KEN,1
2006-01-05,KOR,82
2006-01-05,KWT,2
2006-01-05,LBN,2
2006-01-05,LKA,2
2006-01-05,LTU,14
2006-01-05,LUX,4
2006-01-05,LVA,5
2006-01-05,MAR,9
2006-01-05,MEX,51
2006-01-05,MKD,3
2006-01-05,MLI,1
2006-01-05,MLT,3
2006-01-05,MNE,2
2006-01-05,MUS,1
2006-01-05,MYS,33
2006-01-05,NGA,2
2006-01-05,NIC,2
2006-01-05,NLD,109
2006-01-05,NOR,32
2006-01-05,NZL,15
2006-01-05,OMN,1
2006-01-05,PAK,8
2006-01-05,PAN,2
2006-01-05,PER,16
2006-01-05,PHL,20
2006-01-05,POL,59
2006-01-05,PRI,4
2006-01-05,PRT,39
2006-01-05,PRY,1
2006-01-05,QAT,1
2006-01-05,REU,3
2006-01-05,ROU,23
2006-01-05,RUS,23
2006-01-05,SAU,13
2006-01-05,SDN,1
2006-01-05,SEN,4
2006-01-05,SGP,18
2006-01-05,SLV,1
2006-01-05,SRB,9
2006-01-05,SVK,7
2006-01-05,SVN,10
2006-01-05,SWE,44
2006-01-05,THA,18
2006-01-05,TTO,3
2006-01-05,TUN,1
2006-01-05,TUR,36
2006-01-05,TWN,83
2006-01-05,UGA,1
2006-01-05,UKR,3
2006-01-05,URY,3
2006-01-05,USA,2351
2006-01-05,VEN,11
2006-01-05,VNM,18
2006-01-05,YEM,1
2006-01-05,ZAF,13
2006-01-05,unknown,1
2006-01-06,A1,1
2006-01-06,A2,18
2006-01-06,ALB,1
2006-01-06,AND,1
2006-01-06,AP,4
2006-01-06,ARE,7
2006-01-06,ARG,34
2006-01-06,AUS,39
2006-01-06,AUT,28
2006-01-06,AZE,1
2006-01-06,BEL,44
2006-01-06,BEN,4
2006-01-06,BGR,14
2006-01-06,BHR,1
2006-01-06,BHS,2
2006-01-06,BLR,2
2006-01-06,BOL,3
2006-01-06,BRA,150
2006-01-06,BRN,2
2006-01-06,CAN,222
2006-01-06,CHE,47
2006-01-06,CHL,40
2006-01-06,CHN,142
2006-01-06,CIV,3
2006-01-06,CMR,1
2006-01-06,COL,7
2006-01-06,CRI,6
2006-01-06,CYP,2
2006-01-06,CZE,15
2006-01-06,DEU,254
2006-01-06,DNK,33
2006-01-06,DOM,4
2006-01-06,DZA,2
2006-01-06,EGY,12
2006-01-06,ESP,186
2006-01-06,EST,8
2006-01-06,ETH,2
2006-01-06,EU,11
2006-01-06,FIN,30
2006-01-06,FJI,1
2006-01-06,FRA,222
2006-01-06,GAB,1
2006-01-06,GBR,340
2006-01-06,GHA,7
2006-01-06,GIB,1
2006-01-06,GMB,1
2006-01-06,GRC,11
2006-01-06,GTM,6
2006-01-06,HKG,38
2006-01-06,HND,1
2006-01-06,HRV,14
2006-01-06,HUN,24
2006-01-06,IDN,8
2006-01-06,IND,60
2006-01-06,IRL,16
2006-01-06,IRN,14
2006-01-06,ISL,2
2006-01-06,ISR,32
2006-01-06,ITA,134
2006-01-06,JAM,2
2006-01-06,JEY,1
2006-01-06,JOR,1
2006-01-06,JPN,157
2006-01-06,KAZ,2
2006-01-06,KEN,1
2006-01-06,KOR,55
2006-01-06,KWT,5
2006-01-06,LBN,2
2006-01-06,LIE,1
2006-01-06,LKA,1
2006-01-06,LTU,8
2006-01-06,LUX,3
2006-01-06,LVA,3
2006-01-06,MAC,2
2006-01-06,MAR,10
2006-01-06,MCO,2
2006-01-06,MDA,3
2006-01-06,MEX,53
2006-01-06,MKD,1
2006-01-06,MLI,1
2006-01-06,MLT,2
2006-01-06,MMR,1
2006-01-06,MNE,1
2006-01-06,MNG,1
2006-01-06,MYS,27
2006-01-06,NAM,1
2006-01-06,NCL,1
2006-01-06,NGA,5
2006-01-06,NLD,113
2006-01-06,NOR,25
2006-01-06,NPL,1
2006-01-06,NZL,7
2006-01-06,OMN,2
2006-01-06,PAK,7
2006-01-06,PAN,1
2006-01-06,PER,14
2006-01-06,PHL,24
2006-01-06,POL,58
2006-01-06,PRI,6
2006-01-06,PRT,63
2006-01-06,PSE,2
2006-01-06,QAT,1
2006-01-06,REU,2
2006-01-06,ROU,21
2006-01-06,RUS,19
2006-01-06,SAU,8
2006-01-06,SEN,3
2006-01-06,SGP,13
2006-01-06,SLV,3
2006-01-06,SRB,9
2006-01-06,SVK,3
2006-01-06,SVN,7
2006-01-06,SWE,47
2006-01-06,SYR,1
2006-01-06,THA,12
2006-01-06,TTO,2
2006-01-06,TUN,3
2006-01-06,TUR,40
2006-01-06,TWN,69
2006-01-06,UKR,8
2006-01-06,URY,2
2006-01-06,USA,2243
2006-01-06,VEN,15
2006-01-06,VIR,2
2006-01-06,VNM,22
2006-01-06,YEM,1
2006-01-06,ZAF,14
2006-01-06,unknown,5
2006-01-07,A2,17
2006-01-07,ALB,1
2006-01-07,AP,1
2006-01-07,ARE,6
2006-01-07,ARG,40
2006-01-07,ARM,5
2006-01-07,AUS,80
2006-01-07,AUT,29
2006-01-07,BEL,39
2006-01-07,BEN,3
2006-01-07,BGR,12
2006-01-07,BHS,2
2006-01-07,BLR,1
2006-01-07,BOL,3
2006-01-07,BRA,103
2006-01-07,CAN,191
2006-01-07,CHE,47
2006-01-07,CHL,34
2006-01-07,CHN,110
2006-01-07,CIV,5
2006-01-07,CMR,1
2006-01-07,COL,13
2006-01-07,CRI,3
2006-01-07,CUB,2
2006-01-07,CUW,1
2006-01-07,CYP,2
2006-01-07,CZE,14
2006-01-07,DEU,202
2006-01-07,DNK,23
2006-01-07,DOM,4
2006-01-07,DZA,4
2006-01-07,EGY,14
2006-01-07,ESP,216
2006-01-07,EST,11
2006-01-07,ETH,1
2006-01-07,EU,2
2006-01-07,FIN,28
2006-01-07,FRA,189
2006-01-07,GBR,300
2006-01-07,GHA,2
2006-01-07,GRC,13
2006-01-07,GTM,2
2006-01-07,HKG,21
2006-01-07,HND,1
2006-01-07,HRV,11
2006-01-07,HUN,18
2006-01-07,IDN,7
2006-01-07,IND,60
2006-01-07,IRL,14
2006-01-07,IRN,15
2006-01-07,ISL,4
2006-01-07,ISR,29
2006-01-07,ITA,142
2006-01-07,JAM,4
2006-01-07,JOR,1
2006-01-07,JPN,134
2006-01-07,KAZ,2
2006-01-07,KOR,55
2006-01-07,KWT,2
2006-01-07,LBN,2
2006-01-07,LIE,2
2006-01-07,LKA,2
2006-01-07,LTU,10
2006-01-07,LUX,3
2006-01-07,LVA,7
2006-01-07,MAR,10
2006-01-07,MCO,1
2006-01-07,MDV,1
2006-01-07,MEX,44
2006-01-07,MKD,1
2006-01-07,MLT,3
2006-01-07,MNE,2
2006-01-07,MUS,1
2006-01-07,MYS,18
2006-01-07,NGA,4
2006-01-07,NIC,1
2006-01-07,NLD,82
2006-01-07,NOR,17
2006-01-07,NZL,8
2006-01-07,OMN,1
2006-01-07,PAK,4
2006-01-07,PER,14
2006-01-07,PHL,13
2006-01-07,POL,58
2006-01-07,PRI,3
2006-01-07,PRT,21
2006-01-07,PSE,1
2006-01-07,QAT,1
2006-01-07,ROU,27
2006-01-07,RUS,18
2006-01-07,SAU,8
2006-01-07,SEN,1
2006-01-07,SGP,11
2006-01-07,SLV,2
2006-01-07,SRB,7
2006-01-07,SVK,5
2006-01-07,SVN,11
2006-01-07,SWE,48
2006-01-07,THA,15
2006-01-07,TTO,2
2006-01-07,TUR,27
2006-01-07,TWN,61
2006-01-07,UKR,2
2006-01-07,URY,2
2006-01-07,USA,2071
2006-01-07,VEN,15
2006-01-07,VNM,8
2006-01-07,YEM,2
2006-01-07,ZAF,9
2006-01-07,unknown,5
2006-01-08,A1,1
2006-01-08,A2,13
2006-01-08,ALB,1
2006-01-08,AP,3
2006-01-08,ARE,7
2006-01-08,ARG,40
2006-01-08,ARM,1
2006-01-08,AUS,95
2006-01-08,AUT,33
2006-01-08,BEL,41
2006-01-08,BEN,1
2006-01-08,BGR,16
2006-01-08,BHS,1
2006-01-08,BLR,1
2006-01-08,BOL,1
2006-01-08,BRA,111
2006-01-08,CAN,215
2006-01-08,CHE,39
2006-01-08,CHL,26
2006-01-08,CHN,132
2006-01-08,CIV,4
2006-01-08,COL,12
2006-01-08,CRI,4
2006-01-08,CUB,1
2006-01-08,CUW,1
2006-01-08,CYP,5
2006-01-08,CZE,10
2006-01-08,DEU,235
2006-01-08,DNK,13
2006-01-08,DOM,1
2006-01-08,DZA,4
2006-01-08,EGY,18
2006-01-08,ESP,199
2006-01-08,EST,8
2006-01-08,ETH,1
2006-01-08,EU,4
2006-01-08,FIN,35
2006-01-08,FRA,206
2006-01-08,GBR,308
2006-01-08,GEO,1
2006-01-08,GHA,2
2006-01-08,GMB,1
2006-01-08,GRC,12
2006-01-08,GTM,4
2006-01-08,HKG,23
2006-01-08,HND,1
2006-01-08,HRV,14
2006-01-08,HUN,26
2006-01-08,IDN,5
2006-01-08,IND,43
2006-01-08,IRL,13
2006-01-08,IRN,22
2006-01-08,ISL,2
2006-01-08,ISR,26
2006-01-08,ITA,123
2006-01-08,JAM,3
2006-01-08,JEY,1
2006-01-08,JOR,4
2006-01-08,JPN,170
2006-01-08,KAZ,3
2006-01-08,KEN,2
2006-01-08,KOR,61
2006-01-08,KWT,3
2006-01-08,LBN,1
2006-01-08,LCA,1
2006-01-08,LKA,3
2006-01-08,LTU,9
2006-01-08,LUX,4
2006-01-08,LVA,2
2006-01-08,MAC,2
2006-01-08,MAR,9
2006-01-08,MCO,1
2006-01-08,MDG,1
2006-01-08,MDV,1
2006-01-08,MEX,44
2006-01-08,MKD,1
2006-01-08,MLI,1
2006-01-08,MNP,1
2006-01-08,MYS,30
2006-01-08,NGA,3
2006-01-08,NLD,87
2006-01-08,NOR,24
2006-01-08,NZL,16
2006-01-08,OMN,4
2006-01-08,PAK,5
2006-01-08,PAN,1
2006-01-08,PER,15
2006-01-08,PHL,16
2006-01-08,POL,63
2006-01-08,PRI,6
2006-01-08,PRT,26
2006-01-08,PYF,1
2006-01-08,QAT,1
2006-01-08,REU,1
2006-01-08,ROU,23
2006-01-08,RUS,17
2006-01-08,SAU,7
2006-01-08,SDN,1
2006-01-08,SGP,17
2006-01-08,SLV,3
2006-01-08,SRB,7
2006-01-08,SVK,3
2006-01-08,SVN,9
2006-01-08,SWE,56
2006-01-08,SYR,1
2006-01-08,THA,18
2006-01-08,TTO,1
2006-01-08,TUN,1
2006-01-08,TUR,36
2006-01-08,TWN,73
2006-01-08,UKR,6
2006-01-08,URY,2
2006-01-08,USA,1997
2006-01-08,VEN,14
2006-01-08,VNM,22
2006-01-08,YEM,2
2006-01-08,ZAF,8
2006-01-08,unknown,6
